FIPS,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-hispanic white,# not proficient in English,% not proficient in English,Female,Rural,% diabetic,95% CI - Low,95% CI - High,HIV Cases,HIV Rate,Total deaths,Age-adjusted Mortality,95% CI - Low,95% CI - high,Total deaths,Mortality rate,95% CI - Low,95% CI - High,Total deaths,Mortality rate,95% CI - Low,95% CI - High,# MPH,MPH Rate,MPH Ratio,Costs,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Sample Size,% Couldn’t Access,Household Income,95% CI - Low,95% CI - High,# high housing costs,Households,% high housing costs,% Free Lunch,Homicide Rate,95% CI - Low,95% CI - High,# Drive Alone,Workers,% Drive Alone,% park access,,
1033,54512,21.9,17.6,16.2,0.5,0.5,0.0,2.2,79,369,0.7,51.9,43.9,13,11,16,44,95,941,493.2,460.8,525.7,42,86.5,62.3,116.9,28,909.7,604.5,1314.7,3,0,18163:1,10491,5917,18,16,20,699,6,4,7,669,17,37269,33513,41025,6097,22322,27,44,6,4,9,19053,21972,87,2,:null,
1035,13105,22.4,18.6,46.2,0.4,0.2,0.0,1.5,51,31,0.2,51.5,80.9,17,13,20,28,261,271,572.9,501.0,644.7,10,79.5,38.1,146.2,null,null,null,null,1,0,13222:1,11669,1827,23,21,26,208,7,4,9,185,18,26914,23596,30232,1371,4712,29,81,11,5,20,3459,3970,87,2,:null,
1037,10713,21.0,13.9,30.7,0.6,0.2,0.1,2.2,66,3,0.0,50.1,100.0,15,12,19,10,114,221,525.8,453.2,598.5,null,null,null,null,null,null,null,null,null,null,,10470,1455,20,18,23,156,6,4,8,138,24,34391,30520,38262,1413,4667,30,65,null,null,null,3486,4207,83,2,:null,
1039,38058,22.4,18.6,12.8,0.6,0.5,0.0,1.4,84,314,0.9,51.6,69.7,13,10,16,32,105,638,473.9,435.9,512.0,30,87.7,59.2,125.2,19,853.9,514.1,1333.5,null,null,,10976,4846,22,19,25,570,6,4,8,410,18,32138,29275,35001,4113,14742,28,47,4,2,8,12041,15060,80,11,:null,
1041,13911,23.6,16.0,24.0,0.4,1.8,0.1,1.7,71,139,1.1,51.7,100.0,14,11,17,19,164,238,499.0,434.0,564.0,10,74.2,35.6,136.5,null,null,null,null,1,0,13878:1,9528,1934,23,20,26,294,9,6,11,156,11,34534,30634,38434,1327,5650,23,50,null,null,null,4647,5882,79,null,:null,
1043,80536,22.9,16.2,1.3,0.6,0.5,0.0,4.5,92,1097,1.5,50.5,73.2,13,10,17,34,51,1309,467.0,441.2,492.7,42,55.9,40.3,75.5,32,628.6,429.9,887.3,3,0,26832:1,10559,11471,24,21,26,1331,7,5,9,440,15,39395,35425,43365,8426,31364,27,45,3,2,5,26213,32263,81,null,:null,
1045,50044,24.5,13.8,19.3,0.9,1.2,0.1,5.6,71,504,1.1,50.8,50.9,13,11,16,117,299,721,453.1,419.6,486.6,38,76.6,54.2,105.1,26,710.8,464.3,1041.4,2,0,25171:1,10398,5780,19,17,21,653,5,3,7,467,14,41568,36959,46177,4149,19454,21,52,6,4,9,17929,21689,83,2,:null,
1047,43332,26.3,14.5,69.0,0.2,0.4,0.0,0.8,29,77,0.2,53.7,45.6,16,14,18,125,370,825,585.4,544.6,626.2,41,86.8,62.3,117.8,24,709.2,454.4,1055.3,3,0,14597:1,9813,5488,21,18,24,580,5,3,7,989,24,25859,23308,28410,6147,16913,36,77,20,15,25,11836,14510,82,5,:null,
1049,71375,25.6,14.1,1.8,2.2,0.4,0.8,14.0,81,3348,5.1,50.7,90.1,11,9,14,42,74,1085,475.2,446.5,503.8,39,53.2,37.9,72.8,26,501.4,327.6,734.7,null,null,,10361,13004,30,27,33,1446,8,5,10,423,19,35487,32657,38317,6667,26196,25,59,3,1,5,23470,28135,83,3,:null,
1051,80162,23.0,12.3,20.9,0.4,0.7,0.1,2.8,74,747,1.0,51.2,54.2,12,10,15,136,208,1076,432.5,406.5,458.6,55,73.3,55.2,95.3,34,682.6,472.7,953.9,2,0,39795:1,10227,8260,18,16,20,1129,6,4,8,477,14,54866,50998,58734,7239,28085,26,41,6,4,9,28301,33093,86,3,:null,
1053,38095,22.7,15.3,31.9,3.4,0.3,0.1,2.0,61,104,0.3,48.4,63.5,13,11,16,46,146,639,497.3,458.1,536.5,27,76.4,50.3,111.1,23,936.5,593.6,1405.2,3,0,12765:1,11177,5195,25,22,28,614,7,5,9,580,16,32838,29379,36297,3715,13860,27,62,9,6,14,10576,13029,81,1,:null,
1055,104303,22.9,15.9,15.3,0.6,0.7,0.3,3.5,79,1151,1.2,51.6,37.5,13,11,16,128,148,1972,553.8,528.8,578.7,77,79.7,62.9,99.6,66,994.7,769.3,1265.5,10,0,10444:1,12023,14348,23,21,25,1643,7,5,9,1006,18,34927,31944,37910,11649,41160,28,49,7,6,10,33784,39708,85,5,:null,
1057,17182,21.7,18.4,11.6,0.4,0.3,0.0,1.4,86,31,0.2,50.6,80.2,14,11,18,11,73,335,542.8,482.3,603.2,14,89.0,48.7,149.3,null,null,null,null,null,null,,9606,2160,21,18,24,241,6,4,8,235,16,32648,29215,36081,1780,7240,25,48,null,null,null,5518,6630,83,1,:null,
1059,31884,24.6,15.2,4.1,1.5,0.3,0.1,15.1,79,1717,5.8,50.2,70.4,15,12,18,14,55,573,546.5,501.1,591.8,22,70.5,44.2,106.8,21,818.4,506.6,1251.0,1,0,31723:1,11067,5574,29,26,32,696,9,6,11,308,17,33705,30054,37356,2895,12376,23,57,null,null,null,10520,13015,81,null,:null,
1061,26781,22.0,17.8,9.9,0.9,0.3,0.1,3.4,84,307,1.2,51.2,89.6,14,11,17,30,138,448,459.2,415.3,503.1,17,70.9,41.3,113.5,11,688.8,343.8,1232.4,null,null,,10284,3930,24,22,27,457,7,5,10,287,24,33835,29988,37682,2575,10892,24,54,8,5,13,8997,10800,83,4,:null,
1063,8921,24.0,16.4,80.1,0.2,0.2,0.0,0.9,18,7,0.1,53.1,100.0,19,15,23,20,271,150,487.3,405.6,569.0,null,null,null,null,null,null,null,null,1,0,9005:1,8743,1219,23,19,26,170,7,5,10,null,null,24738,21766,27710,1184,3357,35,87,18,9,32,2111,2869,74,1,:null,
1065,15421,24.1,15.9,58.0,0.2,0.3,0.0,1.1,40,12,0.1,52.7,89.2,15,12,18,30,202,306,594.7,526.2,663.3,15,91.4,51.2,150.8,null,null,null,null,1,0,15736:1,9545,1975,21,18,24,240,6,4,8,334,13,31044,27853,34235,1737,5858,30,68,16,9,25,4648,5578,83,4,:null,
1067,17412,22.6,18.1,28.1,0.4,0.4,0.0,2.5,68,135,0.8,52.1,87.8,15,12,18,25,178,283,456.0,400.4,511.5,null,null,null,null,null,null,null,null,null,null,,9600,2330,23,20,25,281,7,5,9,233,13,39788,35878,43698,1755,6783,26,53,null,null,null,5653,6434,88,1,:null,
1069,102369,24.3,14.8,25.9,0.5,0.9,0.1,3.1,68,623,0.7,52.2,33.8,12,11,14,251,304,1365,414.9,392.6,437.2,69,69.9,54.4,88.4,56,828.5,625.9,1075.9,28,0,3634:1,9704,13046,21,19,23,1462,6,4,7,1033,16,40428,38121,42735,10300,38500,27,54,5,4,8,37994,43575,87,1,:null,
1071,53291,22.1,17.1,3.5,1.5,0.4,0.1,2.6,90,289,0.6,50.8,77.0,14,11,17,26,59,1017,524.6,491.4,557.9,40,81.9,58.5,111.6,27,892.6,588.2,1298.6,3,0,17725:1,10922,7521,23,21,26,773,6,4,8,291,22,36746,33931,39561,5386,21629,25,50,5,3,8,18556,21445,87,3,:null,
1073,658931,23.5,13.3,41.9,0.4,1.5,0.1,4.0,51,10323,1.7,52.7,9.8,12,11,14,2986,543,9946,495.7,485.8,505.5,603,97.0,89.2,104.7,547,1200.4,1099.8,1301.0,351,0,1875:1,9392,81511,20,19,21,9819,6,5,8,4090,15,42053,40888,43218,91092,259394,35,43,17,16,19,244857,292632,84,32,:null,
1075,14311,22.1,19.1,11.5,0.2,0.1,0.0,1.3,86,8,0.1,51.4,100.0,13,10,16,11,91,291,521.4,458.7,584.0,null,null,null,null,null,null,null,null,null,null,,11129,1816,21,19,24,227,7,5,9,203,12,34731,30720,38742,1336,6016,22,50,null,null,null,4804,5711,84,null,:null,
1077,92781,21.3,17.1,10.1,0.4,0.8,0.1,2.4,85,707,0.8,52.2,49.3,14,12,16,45,60,1345,421.9,398.7,445.0,48,60.1,44.3,79.7,40,774.4,553.3,1054.6,8,0,11590:1,9189,10372,19,16,21,1286,6,4,8,1072,14,40195,37026,43364,10909,38315,28,42,6,4,8,32996,38396,86,16,:null,
1079,34117,22.8,15.2,11.6,5.7,0.2,0.0,1.9,77,68,0.2,51.1,91.3,14,11,17,20,71,610,520.3,478.2,562.4,17,52.7,30.7,84.3,15,672.0,376.1,1108.4,1,0,34328:1,10774,5024,24,21,26,608,7,5,9,199,12,38132,34198,42066,3397,13531,25,50,7,4,11,11967,13772,87,2,:null,
