FIPS,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-hispanic white,# not proficient in English,% not proficient in English,Female,Rural,% diabetic,95% CI - Low,95% CI - High,HIV Cases,HIV Rate,Total deaths,Age-adjusted Mortality,95% CI - Low,95% CI - high,Total deaths,Mortality rate,95% CI - Low,95% CI - High,Total deaths,Mortality rate,95% CI - Low,95% CI - High,# MPH,MPH Rate,MPH Ratio,Costs,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Sample Size,% Couldn’t Access,Household Income,95% CI - Low,95% CI - High,# high housing costs,Households,% high housing costs,% Free Lunch,Homicide Rate,95% CI - Low,95% CI - High,# Drive Alone,Workers,% Drive Alone,% park access,,
19153,437399,25.4,11.0,6.0,0.5,3.7,0.1,7.8,81,12042,3.1,50.9,4.9,8,7,9,458,132,3986,334.0,323.5,344.4,241,55.9,48.8,62.9,202,609.5,525.5,693.6,125,0,3458:1,7815,34656,13,12,14,4405,4,3,5,5238,8,56091,53328,58854,48587,169246,29,35,3,2,3,182120,223573,81,56,:null,
19155,93518,24.0,14.5,1.4,0.6,0.7,0.0,6.7,90,1410,1.6,50.9,26.4,8,7,10,68,91,1153,394.2,371.1,417.3,49,54.5,40.3,72.1,36,548.0,383.8,758.7,4,0,23346:1,8410,8141,15,13,16,895,4,2,5,1027,10,48589,44047,53131,10642,36327,29,39,4,2,6,38504,46614,83,55,:null,
19157,18804,20.7,18.5,1.2,0.3,1.5,0.1,2.4,93,99,0.6,50.9,52.0,9,7,12,6,39,178,280.7,238.2,323.3,null,null,null,null,null,null,null,null,4,0,4724:1,6692,1280,13,11,15,145,4,2,5,217,5,49853,44711,54995,1928,7675,25,26,null,null,null,6964,9749,71,56,:null,
19159,5119,24.0,23.6,0.4,0.3,0.4,0.0,1.7,97,47,1.0,50.9,100.0,9,7,12,null,null,52,282.6,207.6,375.8,null,null,null,null,null,null,null,null,null,null,,7937,485,18,16,21,119,10,6,13,74,8,38547,34150,42944,445,2056,22,35,null,null,null,1827,2293,80,22,:null,
19161,10241,22.1,22.3,0.4,0.1,0.2,0.1,2.2,96,24,0.2,51.0,100.0,10,7,13,null,null,119,310.9,253.0,368.8,null,null,null,null,null,null,null,null,null,null,,8720,884,16,13,18,131,6,4,7,128,6,49480,45715,53245,853,4502,19,27,null,null,null,4035,5101,79,56,:null,
19163,167095,24.3,13.2,6.8,0.4,2.1,0.1,5.7,83,1844,1.2,51.0,13.5,8,7,9,164,120,1729,341.6,325.3,357.9,82,50.9,40.4,63.1,60,537.5,410.2,691.9,37,0,4479:1,9197,13215,13,12,14,1567,4,2,5,2413,9,50007,47747,52267,18187,66529,27,36,4,3,5,69423,80280,86,66,:null,
19165,12039,23.0,21.2,0.3,0.2,0.4,0.0,1.9,97,44,0.4,51.0,59.4,10,8,13,null,null,121,287.9,234.1,341.7,null,null,null,null,null,null,null,null,1,0,12173:1,8512,846,13,11,14,119,4,2,6,207,3,48572,44065,53079,1182,5067,23,23,null,null,null,4761,5943,80,47,:null,
19167,33900,27.0,14.0,0.4,0.4,0.8,0.0,9.2,89,877,2.8,50.1,50.8,7,5,8,null,null,193,201.4,172.7,230.0,24,67.0,42.9,99.6,21,789.2,488.5,1206.3,1,0,33726:1,7185,2784,16,14,18,499,5,4,7,571,7,57027,50800,63254,2206,11549,19,23,null,null,null,12537,17841,70,34,:null,
19169,89663,17.4,10.2,2.6,0.2,6.2,0.0,3.1,87,598,0.7,48.2,16.9,6,5,7,32,42,516,249.0,227.1,270.9,26,41.5,27.1,60.9,19,394.1,237.3,615.4,36,0,2487:1,7661,7123,12,10,14,589,4,2,5,1040,5,48121,44623,51619,11299,34613,33,18,null,null,null,34425,48072,72,40,:null,
19171,17695,25.3,18.5,0.5,7.5,0.3,0.1,7.8,84,296,1.8,50.9,72.4,10,7,12,null,null,186,309.1,263.5,354.7,null,null,null,null,null,null,null,null,null,null,,8062,1767,18,16,20,257,6,4,7,263,9,50034,46836,53232,1524,7041,22,26,null,null,null,6457,8322,78,42,:null,
19173,6305,23.4,21.2,0.3,0.3,0.3,0.1,6.3,92,40,0.7,50.2,100.0,9,7,12,null,null,82,339.5,267.9,424.3,null,null,null,null,null,null,null,null,null,null,,7675,563,16,14,19,85,6,4,8,111,6,43155,38201,48109,622,2683,23,42,null,null,null,2204,2879,77,41,:null,
19175,12545,23.6,18.0,0.8,0.3,0.5,0.0,2.1,95,12,0.1,51.5,39.2,9,7,12,null,null,158,374.9,314.8,435.0,11,94.5,47.2,169.2,null,null,null,null,1,0,12517:1,6389,1024,14,12,16,125,4,3,6,162,7,39922,35397,44447,1589,5354,30,37,null,null,null,4940,6338,78,44,:null,
19177,7510,23.6,19.6,0.2,0.1,0.6,0.0,1.2,97,21,0.3,49.5,100.0,9,7,12,null,null,94,329.6,263.6,407.1,null,null,null,null,null,null,null,null,null,null,,8173,765,18,16,21,144,8,5,10,118,16,39719,36628,42810,678,3077,22,35,null,null,null,2522,3605,70,14,:null,
19179,35421,22.8,16.3,1.4,0.8,0.8,0.2,9.2,87,1113,3.4,51.0,30.5,10,8,13,14,48,473,400.4,363.8,437.1,19,58.4,35.1,91.1,11,468.5,233.9,838.2,5,0,7125:1,8395,3244,15,13,17,327,4,2,5,519,10,39999,36726,43272,3863,14771,26,44,null,null,null,12845,16302,79,26,:null,
19181,46732,25.5,13.7,0.6,0.3,0.5,0.0,2.0,96,100,0.2,51.4,42.0,8,6,11,9,24,468,326.6,296.7,356.5,20,42.1,25.7,64.9,18,663.2,393.1,1048.2,6,0,7719:1,7693,2696,10,9,12,382,3,2,4,511,6,62688,57996,67380,3985,17222,23,17,null,null,null,19395,24400,79,27,:null,
19183,21855,24.8,17.5,0.8,0.3,0.4,0.1,5.1,93,213,1.0,51.0,69.5,9,6,11,7,41,207,291.4,250.9,331.9,null,null,null,null,null,null,null,null,null,null,,7093,1930,16,14,18,353,6,4,8,250,10,50559,45026,56092,2176,8943,24,26,null,null,null,7851,11070,71,23,:null,
19185,6309,23.3,22.3,0.4,0.2,0.3,0.0,1.2,97,6,0.1,51.4,100.0,9,7,12,null,null,96,416.4,333.0,514.2,null,null,null,null,null,null,null,null,null,null,,7874,672,19,17,22,117,8,5,10,89,8,37662,33302,42022,665,2699,25,39,null,null,null,1976,2685,74,35,:null,
19187,37660,22.0,16.7,3.9,0.4,0.7,0.0,3.9,90,236,0.7,48.6,33.9,10,8,12,9,27,494,405.6,368.8,442.4,20,58.2,35.5,89.9,null,null,null,null,4,0,9471:1,7606,3054,15,12,17,334,4,2,5,541,10,42178,38232,46124,3618,15855,23,40,4,2,7,15057,18083,83,46,:null,
19189,10789,21.3,19.4,0.7,0.2,0.9,0.0,3.5,94,105,1.0,50.6,66.1,9,7,12,null,null,105,284.7,228.4,341.1,null,null,null,null,null,null,null,null,1,0,10840:1,7059,762,13,11,15,92,4,2,5,166,5,47692,42396,52988,934,4670,20,24,null,null,null,4158,5561,75,23,:null,
19191,21024,19.9,17.0,0.7,0.1,1.2,0.0,2.1,96,78,0.4,50.5,59.0,8,6,11,null,null,138,210.9,174.6,247.2,null,null,null,null,null,null,null,null,5,0,4211:1,6696,1362,12,10,14,206,5,3,6,295,5,49148,44937,53359,1778,7979,22,18,null,null,null,7448,11460,65,41,:null,
19193,102509,26.4,12.9,2.4,2.4,2.5,0.2,14.0,77,3965,4.2,50.6,17.5,9,7,11,59,72,1037,346.4,325.0,367.7,57,52.7,39.9,68.3,47,598.7,439.9,796.2,17,0,6019:1,8409,11792,20,17,22,1202,4,3,6,1365,9,43362,39892,46832,10681,38716,28,41,3,2,4,39972,50042,80,65,:null,
19195,7544,22.8,18.0,0.4,0.3,0.5,0.0,2.0,96,21,0.3,50.1,100.0,9,7,12,null,null,83,302.6,238.8,378.2,null,null,null,null,null,null,null,null,null,null,,6493,606,14,12,16,86,5,3,6,100,12,48718,44324,53112,694,3264,21,23,null,null,null,3028,3935,77,41,:null,
19197,13068,23.1,21.0,0.4,0.3,0.3,0.1,9.6,89,406,3.3,50.2,56.8,9,7,12,null,null,151,326.3,272.4,380.2,null,null,null,null,null,null,null,null,1,0,13194:1,8317,1098,15,13,17,145,5,3,6,195,7,43647,38715,48579,1074,5503,20,37,null,null,null,5081,6389,80,43,:null,
20001,13331,23.5,18.2,2.0,1.0,0.6,0.0,3.0,91,16,0.1,51.4,57.2,11,9,13,null,null,197,439.6,376.3,502.9,null,null,null,null,null,null,null,null,6,0,2225:1,9474,1452,19,17,22,285,9,6,11,467,11,37353,32991,41715,1163,5598,21,44,null,null,null,5479,6390,86,24,:null,
20003,8070,25.3,20.0,0.6,0.5,0.6,0.0,1.7,95,4,0.1,50.4,58.8,9,7,12,null,null,96,339.7,272.8,418.0,null,null,null,null,null,null,null,null,1,0,8098:1,9544,910,21,18,23,192,9,6,12,273,16,42185,37240,47130,828,3201,26,40,null,null,null,2621,3725,70,23,:null,
20005,16793,24.1,15.4,5.2,0.6,0.5,0.0,2.4,89,7,0.0,51.3,34.2,9,7,11,9,67,217,407.2,352.5,461.9,null,null,null,null,null,null,null,null,7,0,2413:1,7808,1619,18,15,20,303,7,5,9,528,10,42131,37208,47054,1413,6096,23,49,null,null,null,5737,7432,77,47,:null,
20007,4888,22.5,19.9,0.6,0.7,0.4,0.0,2.7,95,18,0.4,49.5,100.0,11,9,15,null,null,62,331.4,251.0,429.4,null,null,null,null,null,null,null,null,null,null,,9676,578,21,18,24,136,12,9,15,214,10,44118,39425,48811,380,2305,16,27,null,null,null,1980,2463,80,50,:null,
20009,27841,24.6,16.9,1.4,0.8,0.3,0.1,13.9,83,1116,4.3,50.8,31.8,11,9,13,22,96,328,374.5,333.1,415.9,13,48.4,25.8,82.7,15,789.9,442.1,1302.8,11,0,2517:1,10403,3768,24,21,26,704,10,7,13,810,13,42183,37606,46760,2087,11241,19,47,null,null,null,11051,13748,80,42,:null,
20011,14985,25.0,17.4,2.9,0.8,0.5,0.0,2.3,91,1,0.0,50.8,48.0,9,7,12,6,49,211,418.3,360.2,476.4,12,77.1,39.8,134.7,null,null,null,null,4,0,3792:1,8278,1658,20,17,22,346,9,6,11,444,18,35805,31713,39897,1413,5727,25,51,null,null,null,5218,6530,80,33,:null,
20013,10010,25.1,18.3,1.4,9.3,0.4,0.0,3.4,84,83,0.9,51.2,68.4,11,9,14,null,null,142,438.7,363.4,514.0,10,99.4,47.7,182.8,null,null,null,null,1,0,9992:1,9600,1266,23,20,25,254,10,7,12,394,15,40424,35981,44867,992,4133,24,46,null,null,null,3690,4670,79,12,:null,
20015,65817,26.5,12.7,1.8,1.1,0.8,0.1,4.1,91,156,0.3,49.7,40.5,9,8,11,34,65,716,371.0,343.5,398.6,42,59.5,42.9,80.4,24,576.5,369.4,857.8,15,0,4396:1,9094,6455,17,15,19,1257,7,5,9,1759,10,53217,49769,56665,5963,24039,25,22,null,null,null,26303,30634,86,15,:null,
20017,2817,21.9,21.2,1.4,0.6,0.4,0.0,3.8,93,34,1.3,49.1,100.0,10,8,13,5,218,39,376.8,262.4,524.0,null,null,null,null,null,null,null,null,1,0,2792:1,8321,360,24,21,27,102,16,12,20,119,10,41217,36334,46100,252,1151,22,25,null,null,null,1026,1275,80,2,:null,
20019,3584,20.6,23.8,0.5,4.3,0.1,0.1,2.6,89,52,1.5,48.7,100.0,10,8,14,null,null,72,518.9,395.0,669.3,null,null,null,null,null,null,null,null,1,0,3657:1,8889,501,25,22,28,107,13,10,17,129,14,35952,31619,40285,314,1545,20,45,null,null,null,1085,1450,75,8,:null,
20021,21385,24.6,16.1,0.8,3.9,0.4,0.3,2.2,89,40,0.2,50.3,49.1,10,8,13,14,81,394,526.8,473.6,580.0,13,59.5,31.7,101.8,10,698.8,335.1,1285.1,4,0,5392:1,10287,2617,21,18,23,425,8,5,10,597,12,39696,35346,44046,1998,8189,24,48,null,null,null,7954,9534,83,10,:null,
20023,2718,20.3,26.7,0.0,0.2,0.7,0.0,4.7,94,11,0.4,49.6,100.0,11,8,14,null,null,33,345.9,228.0,503.3,null,null,null,null,null,null,null,null,null,null,,9575,333,24,21,26,107,18,13,22,null,null,36835,32335,41335,334,1276,26,36,null,null,null,909,1254,72,14,:null,
20025,2143,24.8,22.8,0.2,0.8,1.0,0.1,7.4,88,12,0.6,51.8,100.0,10,7,13,null,null,25,309.6,194.1,468.8,null,null,null,null,null,null,null,null,1,0,2203:1,13005,215,19,16,21,69,12,8,16,94,11,42171,37060,47282,146,885,16,30,null,null,null,824,1046,79,32,:null,
20027,8573,23.4,20.8,0.6,0.5,0.4,0.0,2.2,95,36,0.5,50.6,49.5,10,8,13,null,null,106,367.9,295.0,440.8,null,null,null,null,null,null,null,null,null,null,,8249,888,19,16,21,170,8,6,11,327,8,47692,41963,53421,824,3517,23,26,null,null,null,3083,3976,78,17,:null,
20029,9365,22.0,20.4,0.6,0.4,0.3,0.0,3.2,94,39,0.4,51.3,44.0,12,10,15,null,null,134,407.6,336.5,478.7,11,130.6,65.2,233.8,null,null,null,null,4,0,2381:1,9382,1088,21,18,24,186,9,6,11,359,10,39763,36034,43492,903,3979,23,38,null,null,null,3400,4323,79,49,:null,
20031,8533,23.6,17.5,0.7,0.8,0.5,0.0,2.3,94,27,0.3,50.4,70.9,11,9,14,null,null,115,391.7,317.3,466.1,null,null,null,null,null,null,null,null,1,0,8608:1,7986,822,16,14,19,162,8,5,10,304,12,54644,49388,59900,678,3482,19,32,null,null,null,3156,4078,77,26,:null,
20033,1884,23.5,23.9,0.3,0.3,0.3,0.1,4.4,94,5,0.3,52.3,100.0,10,8,13,null,null,31,377.8,251.1,546.1,null,null,null,null,null,null,null,null,null,null,,10570,209,21,18,24,58,13,9,17,95,4,39975,35145,44805,174,843,21,21,null,null,null,744,981,76,55,:null,
20035,36272,24.2,16.1,2.8,2.3,1.7,0.1,9.3,82,575,1.7,50.0,31.0,10,8,12,10,35,498,427.2,389.0,465.4,34,95.0,65.8,132.7,26,1022.8,668.1,1498.7,6,0,6047:1,7959,4026,20,18,22,685,8,5,10,1000,15,40248,37481,43015,3369,13489,25,48,null,null,null,12771,16086,79,37,:null,
20037,39220,22.0,14.0,2.1,1.0,1.4,0.2,4.7,89,429,1.2,50.4,34.9,10,8,12,22,68,492,436.7,397.5,476.0,20,57.8,35.3,89.3,21,785.3,486.1,1200.5,26,0,1505:1,10890,5195,22,19,25,705,8,6,10,1086,14,34080,30852,37308,4898,15354,32,48,null,null,null,14866,17569,85,30,:null,
20039,2915,18.5,26.8,0.7,0.5,0.2,0.0,1.5,96,17,0.6,49.7,100.0,13,10,17,null,null,46,458.7,324.6,629.6,null,null,null,null,null,null,null,null,null,null,,10501,358,22,20,25,81,14,10,18,139,7,37986,33486,42486,282,1484,19,29,null,null,null,1005,1335,75,47,:null,
20041,19739,24.3,18.1,0.9,0.6,0.4,0.1,4.1,92,18,0.1,50.8,64.3,10,8,12,null,null,219,328.1,283.8,372.3,15,76.5,42.8,126.1,null,null,null,null,null,null,,7316,2026,18,16,20,409,8,6,11,603,11,46894,42524,51264,1749,7591,23,28,null,null,null,7271,9391,77,26,:null,
20043,7945,21.9,16.4,3.3,1.2,0.3,0.0,2.3,91,36,0.5,49.6,70.2,10,8,13,null,null,85,319.9,254.5,397.1,null,null,null,null,null,null,null,null,1,0,7954:1,10213,842,19,16,21,148,8,6,10,223,11,43092,38611,47573,643,3108,21,35,null,null,null,3166,3877,82,23,:null,
20045,112211,18.4,9.1,4.0,2.8,4.1,0.1,5.5,81,1445,1.4,49.8,11.0,6,5,7,79,79,661,252.9,233.2,272.7,38,45.5,32.2,62.5,32,508.3,347.7,717.6,111,0,1002:1,8229,14788,21,18,23,1821,8,6,11,2567,10,47930,43941,51919,16732,43238,39,26,2,1,3,43854,59027,74,67,:null,
20047,3020,23.2,19.5,0.2,1.1,0.6,0.0,18.7,79,72,2.5,50.2,100.0,11,8,14,null,null,46,459.1,330.9,620.6,null,null,null,null,null,null,null,null,null,null,,9342,383,22,19,25,98,13,9,17,124,10,43874,39040,48708,243,1352,18,39,null,null,null,1242,1504,83,32,:null,
20049,2811,20.6,25.3,0.1,1.6,0.4,0.1,2.8,93,11,0.4,50.9,100.0,13,10,17,null,null,48,427.0,305.0,581.4,null,null,null,null,null,null,null,null,null,null,,9354,423,27,24,30,89,14,10,18,130,14,34174,30291,38057,307,1289,24,48,null,null,null,915,1189,77,22,:null,
20051,28742,20.8,13.4,1.0,0.4,1.3,0.1,4.9,91,206,0.8,50.3,25.6,8,6,10,7,30,260,330.3,289.6,371.1,10,43.2,20.7,79.4,null,null,null,null,27,0,1053:1,9749,3048,17,14,20,416,7,5,9,712,7,41774,37442,46106,3400,11678,29,28,null,null,null,13477,16500,82,41,:null,
20053,6483,18.4,19.1,4.8,0.6,0.4,0.0,5.2,88,5,0.1,43.7,54.1,11,8,13,null,null,85,357.2,283.7,444.0,null,null,null,null,null,null,null,null,2,0,3257:1,9899,566,18,15,20,111,9,6,12,241,11,46927,41873,51981,420,2560,16,34,null,null,null,2241,2935,76,27,:null,
20055,37083,32.2,8.6,2.1,1.4,3.7,0.1,47.2,46,3378,10.3,49.8,18.6,9,7,11,17,53,287,316.1,278.7,353.6,31,67.5,45.9,95.9,20,614.3,375.2,948.7,6,0,6162:1,8396,6061,28,25,31,1323,11,8,14,739,14,44888,40690,49086,3193,12105,26,54,null,null,null,14414,18244,79,11,:null,
20057,34568,31.3,9.8,2.1,1.7,1.7,0.2,51.7,43,4961,16.5,48.2,19.3,9,7,11,26,101,278,327.2,288.0,366.5,37,91.7,64.5,126.3,28,771.6,512.7,1115.1,1,0,34078:1,7579,5609,28,25,32,1187,11,8,14,731,16,47542,43523,51561,2690,10982,24,65,null,null,null,12815,15838,81,52,:null,
20059,25931,25.3,14.3,1.4,0.9,0.5,0.0,3.5,92,116,0.5,50.3,52.1,10,8,12,13,60,299,369.0,326.7,411.4,14,51.5,28.2,86.4,11,596.5,297.8,1067.4,5,0,5204:1,9495,2492,16,14,18,469,7,5,9,793,11,46553,42179,50927,2760,10148,27,41,null,null,null,10054,12565,80,9,:null,
20061,35323,30.9,7.5,17.0,1.2,3.4,0.8,13.1,60,354,1.2,49.8,11.7,8,7,10,36,142,341,443.0,394.5,491.6,47,125.2,92.0,166.5,42,1182.4,852.2,1598.3,6,0,5886:1,7726,3795,18,15,21,705,6,4,9,596,12,40224,36409,44039,3393,11868,29,39,7,4,12,12457,15360,81,53,:null,
20063,2697,22.9,23.7,0.2,0.3,0.4,0.0,1.7,97,10,0.4,50.2,100.0,13,9,17,null,null,34,351.4,237.1,501.6,null,null,null,null,null,null,null,null,null,null,,12259,356,25,22,28,114,19,14,23,105,8,44351,39446,49256,157,1151,14,25,null,null,null,925,1290,72,10,:null,
20065,2641,19.7,25.1,3.7,0.7,0.3,0.0,2.5,90,0,0.0,50.9,100.0,12,9,15,null,null,34,333.6,219.8,485.3,null,null,null,null,null,null,null,null,null,null,,9453,299,21,18,24,68,13,10,17,120,9,40903,35981,45825,265,1183,22,29,null,null,null,879,1219,72,6,:null,
20067,7964,31.8,10.4,0.6,1.7,0.4,0.0,44.5,53,606,8.5,49.0,19.8,9,7,12,null,null,64,307.1,235.5,393.7,11,112.6,56.2,201.5,null,null,null,null,1,0,7852:1,8268,1134,25,22,28,308,12,9,16,200,13,54230,47744,60716,470,2811,17,47,null,null,null,2659,3679,72,37,:null,
20069,6113,30.3,12.2,0.6,0.8,0.3,0.0,14.8,83,203,3.7,50.8,100.0,10,7,12,null,null,49,283.6,209.1,376.0,null,null,null,null,null,null,null,null,1,0,6028:1,7902,890,26,23,29,312,17,12,21,203,6,59278,54569,63987,371,2052,18,31,null,null,null,2282,2963,77,14,:null,
20071,1258,20.8,20.7,0.2,0.6,0.3,0.0,14.5,84,37,3.1,52.5,100.0,11,8,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,11080,144,20,17,23,43,15,11,19,59,4,48606,42651,54561,62,502,12,35,null,null,null,525,653,80,1,:null,
20073,6644,22.0,22.2,0.3,1.2,0.3,0.0,3.5,93,0,0.0,50.7,61.3,10,8,13,null,null,108,430.8,344.5,517.2,null,null,null,null,null,null,null,null,1,0,6680:1,12005,826,22,20,25,148,10,7,13,276,9,35765,31946,39584,603,2944,20,45,null,null,null,2341,2872,82,24,:null,
20075,2666,28.4,13.7,0.4,2.0,0.3,0.2,31.5,66,139,5.7,49.2,100.0,9,6,12,null,null,31,393.2,265.3,561.4,null,null,null,null,null,null,null,null,null,null,,12530,492,32,28,35,160,20,15,25,null,null,43679,38657,48701,237,1071,22,52,null,null,null,1104,1308,84,19,:null,
20077,5993,23.4,21.7,0.7,1.3,0.2,0.3,5.3,92,73,1.3,50.2,100.0,11,9,14,null,null,89,394.6,313.8,489.7,null,null,null,null,null,null,null,null,null,null,,10350,706,22,19,24,180,12,9,16,244,10,39104,34557,43651,534,2660,20,49,null,null,null,2356,2829,83,42,:null,
20079,34846,25.0,17.3,1.6,0.9,0.8,0.0,10.9,84,670,2.1,51.1,30.9,9,7,11,11,39,339,318.2,283.6,352.7,19,54.4,32.8,84.9,15,590.8,330.7,974.4,19,0,1829:1,8468,3656,19,17,21,724,8,6,10,1038,8,50958,45735,56181,3258,13137,25,36,null,null,null,13081,16466,79,29,:null,
20081,4285,31.0,11.2,0.3,1.4,0.4,0.2,27.4,70,167,4.3,50.5,100.0,10,8,13,null,null,43,369.5,265.1,501.2,null,null,null,null,null,null,null,null,null,null,,9932,622,25,22,28,211,15,11,19,130,11,54340,48194,60486,205,1397,15,52,null,null,null,1866,2187,85,18,:null,
20083,1966,23.1,20.7,1.3,0.3,0.4,0.0,6.7,90,13,0.7,49.5,100.0,11,8,15,null,null,20,268.5,161.6,419.3,null,null,null,null,null,null,null,null,null,null,,8218,211,20,17,22,55,12,9,15,70,7,45992,40622,51362,115,781,15,28,null,null,null,612,913,67,40,:null,
20085,13433,26.2,15.7,0.6,8.1,0.4,0.0,3.6,85,64,0.5,49.8,75.9,10,7,12,null,null,181,401.4,341.8,461.1,null,null,null,null,null,null,null,null,4,0,3371:1,8712,1487,19,17,21,350,10,7,12,532,13,50342,44603,56081,1210,5336,23,31,null,null,null,4844,6628,73,25,:null,
20087,18941,23.9,15.8,0.6,0.9,0.2,0.0,1.9,95,42,0.2,49.3,98.8,11,9,14,11,72,203,303.7,260.7,346.7,12,63.1,32.6,110.2,null,null,null,null,2,0,9565:1,7985,1859,16,14,18,412,9,6,11,644,11,57046,51417,62675,1783,7401,24,28,null,null,null,7426,9519,78,5,:null,
20089,3096,18.2,27.7,0.2,0.6,0.2,0.0,2.2,96,2,0.1,48.4,100.0,12,9,16,null,null,38,302.8,201.2,437.7,null,null,null,null,null,null,null,null,null,null,,7972,361,22,19,25,84,14,10,18,144,9,38865,34561,43169,238,1470,16,27,null,null,null,1136,1528,74,47,:null,
20091,552991,26.0,11.2,4.5,0.5,4.3,0.1,7.3,82,10760,2.1,51.1,3.8,7,6,7,531,120,3603,236.6,228.7,244.4,266,47.1,41.5,52.8,227,621.5,540.7,702.4,360,0,1515:1,9529,43720,13,12,14,8203,6,4,7,13595,8,70665,67721,73609,56971,212587,27,17,2,1,2,244747,287206,85,54,:null,
20093,3987,30.5,13.8,0.6,1.4,0.6,0.0,29.2,68,216,5.9,49.2,100.0,9,7,12,null,null,32,285.4,193.9,405.0,null,null,null,null,null,null,null,null,null,null,,8854,650,29,25,32,202,17,12,21,125,7,51413,45460,57366,201,1385,15,49,null,null,null,1637,1827,90,43,:null,
20095,7853,24.0,20.0,0.3,0.7,0.6,0.0,2.7,95,3,0.0,50.5,62.1,11,8,14,null,null,82,294.3,231.9,368.3,null,null,null,null,null,null,null,null,2,0,3922:1,9926,775,18,15,20,171,9,6,12,272,10,47684,42196,53172,586,3357,17,35,null,null,null,2807,3450,81,13,:null,
20097,2549,20.9,19.3,0.6,1.0,0.7,0.0,4.1,92,6,0.2,50.5,100.0,10,7,13,null,null,24,295.8,187.5,443.9,null,null,null,null,null,null,null,null,2,0,1282:1,8909,286,21,18,23,71,12,9,16,null,null,39796,35200,44392,209,1013,21,37,null,null,null,809,1174,69,31,:null,
20099,21511,23.9,17.0,4.6,2.2,0.4,0.1,4.1,85,114,0.6,50.4,52.3,11,9,13,10,53,306,430.0,380.7,479.4,16,74.6,42.6,121.1,12,791.6,409.0,1382.7,6,0,3594:1,9392,2319,18,16,21,476,9,6,11,660,17,37879,34021,41737,2091,8781,24,48,null,null,null,8286,10021,83,29,:null,
20101,1749,22.8,21.4,0.6,1.4,0.3,0.1,4.8,92,4,0.3,51.6,100.0,11,8,14,null,null,31,461.4,306.6,666.9,null,null,null,null,null,null,null,null,null,null,,10563,215,22,19,24,48,12,9,16,null,null,47900,42586,53214,132,737,18,30,null,null,null,538,718,75,44,:null,
20103,77176,24.5,11.4,9.4,0.9,1.4,0.1,6.0,80,655,0.9,46.9,29.1,9,8,11,111,180,785,346.1,321.5,370.6,33,43.6,30.0,61.2,26,527.9,344.9,773.5,17,0,4500:1,10326,5899,14,12,16,1036,5,4,7,1867,10,61567,57387,65747,6800,25932,26,24,2,1,4,27311,33373,82,28,:null,
20105,3215,23.8,19.9,0.3,0.5,0.2,0.0,2.7,95,20,0.6,50.6,100.0,10,7,13,null,null,43,389.9,278.6,531.0,null,null,null,null,null,null,null,null,null,null,,13188,414,23,20,26,116,15,10,19,148,8,39317,34699,43935,315,1444,22,37,null,null,null,1330,1636,81,21,:null,
20107,9612,23.0,19.6,0.6,0.7,0.3,0.1,2.1,95,17,0.2,50.1,100.0,11,8,14,null,null,168,452.7,380.7,524.6,null,null,null,null,null,null,null,null,null,null,,9001,1153,21,18,23,246,11,8,14,356,16,44615,40500,48730,1262,4323,29,43,null,null,null,3232,4137,78,18,:null,
20109,2783,22.4,20.6,0.6,0.7,0.4,0.0,3.3,94,12,0.5,50.3,100.0,12,9,15,null,null,39,424.2,297.1,587.3,null,null,null,null,null,null,null,null,null,null,,11352,331,21,18,24,79,12,9,15,101,10,43315,37981,48649,275,1323,21,34,null,null,null,1147,1484,77,62,:null,
20111,33764,23.2,12.5,2.4,1.3,2.5,0.1,20.5,72,1505,4.7,51.2,26.3,9,7,10,8,28,294,303.2,268.1,338.4,23,68.8,43.6,103.2,19,792.0,476.8,1236.8,20,0,1682:1,8786,5306,26,23,29,765,9,7,12,954,11,39346,35900,42792,3823,13428,28,52,null,null,null,12828,17046,75,41,:null,
20113,29241,23.2,18.4,1.1,0.5,0.6,0.1,3.7,93,79,0.3,50.9,43.5,10,8,12,12,52,300,315.7,279.1,352.3,14,50.4,27.6,84.6,15,818.8,458.3,1350.5,4,0,7285:1,7723,2510,15,13,17,452,6,4,8,1008,6,48130,43668,52592,2170,11541,19,24,null,null,null,11635,14743,79,57,:null,
20115,12538,21.9,21.3,1.0,0.6,0.3,0.1,2.6,94,14,0.1,49.8,77.8,10,8,13,null,null,121,274.3,222.9,325.7,12,103.5,53.5,180.8,13,2047.2,1090.1,3500.8,1,0,12658:1,8270,1267,19,17,21,279,10,7,12,466,10,43749,39243,48255,1008,5058,20,31,null,null,null,4548,6128,74,33,:null,
20117,10005,22.5,20.9,0.4,0.3,0.3,0.1,1.9,96,70,0.7,50.5,71.0,11,8,13,null,null,108,309.3,248.3,370.3,null,null,null,null,null,null,null,null,null,null,,8519,989,18,15,20,217,9,6,12,450,8,42619,38172,47066,759,4309,18,30,null,null,null,3967,5130,77,47,:null,
